시도,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,384,709,30,2,7,0,0,0,2,0,0,1
서울특별시,343,489,23,0,5,0,0,0,0,0,0,1
서울특별시,453,501,33,1,10,0,0,0,0,0,0,0
서울특별시,457,590,31,2,10,1,0,0,1,1,0,1
서울특별시,453,572,32,0,4,0,0,0,2,1,0,1
서울특별시,2883,2437,239,5,33,0,0,1,2,5,1,3
서울특별시,838,1001,82,1,20,1,0,0,2,0,2,0
서울특별시,555,757,52,2,11,1,1,0,1,1,0,1
서울특별시,571,742,57,0,12,1,0,0,1,1,0,1
서울특별시,398,508,42,3,12,0,0,0,0,2,0,0
서울특별시,480,616,42,2,11,0,0,1,0,1,1,1
서울특별시,467,600,44,0,9,0,0,1,1,1,0,0
서울특별시,2431,1740,140,7,20,0,1,1,2,3,2,0
서울특별시,532,644,55,1,13,0,0,0,3,3,0,1
서울특별시,514,543,38,0,4,0,0,0,1,0,1,0
서울특별시,440,490,36,0,12,0,0,0,2,0,0,0
서울특별시,474,499,39,1,14,1,0,0,0,2,0,0
서울특별시,495,675,40,1,13,0,0,0,1,0,0,0
서울특별시,524,654,36,4,12,0,0,1,5,1,0,1
서울특별시,3644,2966,163,4,28,1,0,3,4,4,0,0
서울특별시,458,821,44,1,5,1,0,0,6,2,0,0
서울특별시,642,694,41,0,23,0,1,0,3,2,0,2
서울특별시,591,631,30,0,11,0,0,0,4,1,0,2
서울특별시,507,670,36,2,6,0,0,1,1,3,0,1
서울특별시,655,834,46,1,10,1,0,0,2,0,0,0
서울특별시,538,635,40,1,7,0,1,0,1,0,2,0
서울특별시,501,683,45,1,11,0,0,0,0,2,0,0
서울특별시,690,825,47,0,9,1,0,0,1,1,0,0
서울특별시,2905,2543,128,4,22,0,1,1,2,3,4,3
서울특별시,568,800,26,1,14,0,1,0,1,0,5,0
서울특별시,519,876,43,2,1,0,0,0,2,0,0,0
서울특별시,471,661,34,0,9,0,2,1,7,0,0,2
서울특별시,549,754,47,0,20,0,0,0,2,1,0,3
서울특별시,544,728,52,1,6,0,0,1,1,0,1,0
서울특별시,617,865,45,1,6,1,0,3,3,1,0,1
서울특별시,2785,2370,111,2,18,1,0,1,1,10,1,4
서울특별시,491,641,31,1,9,0,0,0,2,1,2,1
서울특별시,538,759,40,0,11,1,1,0,1,0,0,0
서울특별시,721,875,62,3,13,0,0,1,4,3,2,0
서울특별시,551,640,43,0,5,0,1,0,1,0,0,0
서울특별시,461,612,26,2,12,0,0,1,0,1,1,0
서울특별시,462,517,19,1,8,0,0,2,0,0,0,1
서울특별시,589,682,37,0,5,1,0,0,0,2,0,1
서울특별시,706,937,52,1,7,0,0,3,0,0,0,0
서울특별시,2928,2429,101,6,9,0,0,1,2,5,0,1
서울특별시,447,591,23,0,12,0,0,1,5,1,0,0
서울특별시,673,956,37,0,9,0,2,0,0,0,0,0
서울특별시,499,594,33,0,7,0,0,0,0,2,0,0
서울특별시,714,953,53,2,9,1,0,1,1,0,0,2
서울특별시,444,524,27,0,6,2,0,0,1,1,0,0
서울특별시,3307,2688,154,9,15,1,1,0,3,7,0,1
서울특별시,512,597,35,0,8,0,0,0,3,1,0,1
서울특별시,719,780,41,4,9,0,1,0,0,2,0,1
서울특별시,552,882,46,2,7,0,0,0,1,0,0,0
서울특별시,592,819,31,0,5,0,1,0,1,0,0,0
서울특별시,677,923,45,1,4,0,0,0,1,2,0,1
서울특별시,437,538,22,0,10,0,0,1,1,2,0,2
서울특별시,967,1241,74,2,7,0,0,0,2,0,1,0
서울특별시,3090,2417,128,2,19,0,0,1,2,7,0,2
서울특별시,687,907,64,0,6,0,0,0,2,0,0,1
서울특별시,512,642,26,0,9,0,0,1,0,1,0,0
서울특별시,490,588,27,0,5,0,0,0,0,0,2,0
서울특별시,808,841,36,1,13,1,0,1,4,3,0,1
서울특별시,727,845,36,1,5,1,1,0,1,0,1,0
