지역,선거인수,투표수,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일,계,무효,기권
강원 강릉시을,84314,65058,37339.0,12512.0,13008.0,624.0,167.0,70.0,241.0,63961,1097,19256
강원 동해시,71038,54599,28099.0,10581.0,14077.0,497.0,157.0,82.0,213.0,53706,893,16439
강원 태백시,41889,31858,14286.0,5469.0,10957.0,310.0,122.0,47.0,126.0,31317,541,10031
강원 정선군,38789,29501,10396.0,6148.0,11491.0,204.0,204.0,88.0,226.0,28757,744,9288
강원 속초시,58440,44517,19932.0,11287.0,12127.0,331.0,73.0,63.0,108.0,43921,596,13923
강원 고성군,27169,21557,8765.0,5265.0,6704.0,125.0,67.0,48.0,124.0,21098,459,5612
강원 양양군,22568,18249,7417.0,4567.0,5493.0,141.0,61.0,46.0,121.0,17846,403,4319
강원 인제군,23987,19084,6153.0,5515.0,6580.0,128.0,100.0,59.0,131.0,18666,418,4903
강원 삼척시,61247,48436,22997.0,8325.0,14859.0,376.0,196.0,107.0,363.0,47223,1213,12811
강원 홍천군,53657,42263,12731.0,10964.0,16593.0,293.0,262.0,139.0,319.0,41301,962,11394
강원 횡성군,34626,27682,7879.0,7203.0,11252.0,209.0,157.0,95.0,233.0,27028,654,6944
강원 영월군,36636,28505,9936.0,6065.0,11030.0,288.0,208.0,99.0,229.0,27855,650,8131
강원 평창군,35291,27280,10018.0,6098.0,9885.0,224.0,210.0,67.0,243.0,26745,535,8011
강원 화천군,18390,14778,4914.0,4039.0,5240.0,93.0,58.0,48.0,95.0,14487,291,3612
강원 철원군,37998,30709,9532.0,9092.0,11068.0,175.0,105.0,58.0,118.0,30148,561,7289
강원 양구군,16712,13544,4276.0,3639.0,5039.0,89.0,73.0,47.0,72.0,13235,309,3168
충북 청주시흥덕구,203292,160438,53820.0,61972.0,38769.0,2849.0,299.0,209.0,221.0,158139,2299,42854
충북 청주시상당구,153770,122815,42869.0,46796.0,29159.0,1646.0,215.0,200.0,242.0,121127,1688,30955
충북 충주시,150460,118578,34755.0,38839.0,40391.0,1216.0,463.0,274.0,452.0,116390,2188,31882
충북 제천시,102100,80894,28782.0,20703.0,28088.0,917.0,329.0,200.0,364.0,79383,1511,21206
충북 단양군,30872,24421,7324.0,6143.0,9509.0,315.0,135.0,104.0,209.0,23739,682,6451
충북 청원군,87871,68803,16528.0,30125.0,18644.0,919.0,281.0,305.0,401.0,67203,1600,19068
충북 영동군,45157,36178,11542.0,11346.0,11216.0,421.0,218.0,162.0,301.0,35206,972,8979
충북 보은군,34372,27418,6351.0,11701.0,7914.0,193.0,126.0,145.0,184.0,26614,804,6954
충북 옥천군,46091,36709,7936.0,16175.0,10654.0,504.0,162.0,190.0,250.0,35871,838,9382
충북 음성군,61775,49389,12843.0,19248.0,15208.0,474.0,201.0,177.0,234.0,48385,1004,12386
충북 진천군,41806,33432,7774.0,14535.0,9497.0,333.0,126.0,126.0,180.0,32571,861,8374
충북 괴산군,58355,46421,12686.0,18083.0,13205.0,445.0,229.0,221.0,319.0,45188,1233,11934
충남 천안시갑,127186,98573,30506.0,39659.0,24604.0,1101.0,221.0,299.0,245.0,96635,1938,28613
충남 천안시을,119913,94917,28130.0,37901.0,25560.0,1272.0,193.0,215.0,177.0,93448,1469,24996
충남 공주시,96516,74178,14620.0,34907.0,21282.0,564.0,287.0,352.0,347.0,72359,1819,22338
충남 보령시,85806,64595,12432.0,33907.0,15208.0,499.0,209.0,309.0,319.0,62883,1712,21211
충남 아산시,123007,93260,22589.0,44023.0,22066.0,1902.0,228.0,280.0,287.0,91375,1885,29747
충남 금산군,50213,37605,7153.0,17236.0,11180.0,247.0,173.0,270.0,306.0,36565,1040,12608
충남 연기군,57666,45080,9788.0,19889.0,13402.0,448.0,146.0,172.0,172.0,44017,1063,12586
충남 논산시,117711,92151,11721.0,40199.0,37023.0,521.0,283.0,268.0,280.0,90295,1856,25560
충남 부여군,71044,55001,6990.0,33053.0,12553.0,318.0,165.0,322.0,227.0,53628,1373,16043
충남 서천군,59539,45467,8991.0,23998.0,10358.0,294.0,140.0,202.0,245.0,44228,1239,14072
